COMMODITY | SYS-22672217-1   | 10/- Samosa
COMMODITY | SYS-22716318-1   | 2/- Chakodhi
COMMODITY | SYS-22671550-1   | 2/- Local Ballusha
COMMODITY | SYS-22698185-1   | 20/- Local Murmura Laddu
BARCODE   | 8901030985829    | 3roses ,250g
COMMODITY | SYS-22737581-1   | 5/- Kala Jamun
COMMODITY | SYS-22708399-1   | 5/- Local Khara
COMMODITY | SYS-22733569-1   | 5/- Mysore Pak
COMMODITY | SYS-22693050-1   | 5/- Osmania Biscuit
COMMODITY | SYS-22655978-1   | 5/- Pallipati
COMMODITY | SYS-22719961-1   | 5/- Son Papadi
BARCODE   | 8906152260960    | 5/- Sunder Cake
BARCODE   | 8906007286978    | Aadhar Refined Sunflower Oil 1 L
BARCODE   | 8901725123123    | Aashirvaad iodized salt 1kg
BARCODE   | 8909081002779    | Aashirvaad Superior MP Atta 2kg
BARCODE   | 8901023028434    | Aer powder room freshner Yellow
BARCODE   | 8901023025082    | Aer Room freshner blue
BARCODE   | 8901023025068    | Aer Room freshner pink
COMMODITY | SYS-22605094-1   | Agarbatti 50/-
BARCODE   | 4987176374165    | Airel Power Gel 1kg
BARCODE   | 8906007286909    | Alpha Palm Oil
COMMODITY | SYS-22699093-1   | Amber
BARCODE   | 8901725117917    | American Club Big
BARCODE   | 8901725120719    | American Club Garam Big
BARCODE   | 8902953444318    | American Club Garam small
BARCODE   | 890295334615     | American Club Small
COMMODITY |                  | Amla 45/-
BARCODE   | 8901262090421    | Amul Amulya 5/-
BARCODE   | 8901262110068    | Amul Sagar Skimmed Milk Powder 500 g
BARCODE   | 8901262090339    | Amulya Milk Powder 500g
BARCODE   | 8901262090353    | Amulya Powder 200g
COMMODITY | SYS-22710367-1   | Anar
BARCODE   | 8904000901539    | Anchor White 200g
BARCODE   | 8906021922760    | Apis Himalaya Honey ,50g
BARCODE   | 8906021922500    | APIs honey 500g
BARCODE   | 4987176351708    | Ariel Powder 10/-
BARCODE   | 4987176177612    | Ariel Surf 500g
BARCODE   | 8909081002885    | Ashirwad 2kg
BARCODE   | 8901725016838    | Ashirwad Atta 1kg
BARCODE   | 8909081002168    | Ashirwad chilli powder 500g
BARCODE   | 8909081003233    | Ashirwad Samiyaa 400g
BARCODE   | 8908005989004    | Ashoka Powder 20g
BARCODE   | 8908005989011    | Ashoka Sandalwood Powder,60/-
BARCODE   | 8908005989028    | Ashoka Taculm Powder 85/-
BARCODE   | 8908000498976    | Aswini mini100ml
BARCODE   | 8901207051807    | Babool Toothpaste 100g
COMMODITY | SYS-22742392-1   | Badam
BARCODE   | 8906014765961    | Bajaj Almond Drops 95 ml
COMMODITY | SYS-22700592-1   | Ballusha
BARCODE   | 8904287000321    | Bambino 1kg
BARCODE   | 8901242201212    | Bambino Gulab Jamun Powder
BARCODE   | 8904287001526    | Bambino Pasta 10/-
BARCODE   | 8904287001106    | Bambino Samiyaa 650g
COMMODITY | SYS-22684926-1   | Basmati Rice
BARCODE   | 8906084799811    | Beardo Perfume 150 ml
BARCODE   | 8908025444538    | Besan 500g
COMMODITY | SYS-22741449-1   | Besan Loose
BARCODE   | 8904004400045    | Bhujia sev
COMMODITY | SYS-22737057-1   | Big Palli
COMMODITY | SYS-22728715-1   | Big Vimal
BARCODE   | 8901063163102    | Biscuit 110/-
COMMODITY | SYS-22690657-1   | Biscuit 42/-
BARCODE   | 8906152260762    | Biscuit 45/-
BARCODE   | 8906152266344    | Biscuit 50/-
BARCODE   | 8909081001147    | Biscuit 55/-
BARCODE   | 815865000122     | Black Rose
BARCODE   | 815865000115     | Black Rose Kali Mehandi
COMMODITY | SYS-22662544-1   | Black Tiili
BARCODE   | 8901030543944    | BOOST ,200g
BARCODE   | 8901030818660    | Boost 500g B
BARCODE   | 8909106018327    | Boost, 5/-
BARCODE   | 8901725108519    | Bristol
BARCODE   | 8901063139374    | Britannia BOURBON 60g
BARCODE   | 8901063325760    | Britannia Toastea Premium Bake Rusk
BARCODE   | 8909106051966    | Brooke Bond Taj Mahal
BARCODE   | 8904217500235    | ButterNotty
COMMODITY | SYS-22724502-1   | C Putana
BARCODE   | 7622202818424    | Cadbury 5 star 5/-
BARCODE   | 7622202818295    | Cadbury dairy Milk 5/-
BARCODE   | 8901393026672    | CenterFresh Jar
BARCODE   | 8901393024289    | Centerfruit Jar
COMMODITY | SYS-22658364-1   | Chakodi 145
BARCODE   | 8901052020485    | Chakra gold 100g
COMMODITY | SYS-22701744-1   | Chana
COMMODITY |                  | Chand Biscuit
BARCODE   | 8901399009020    | Chandrika Soap
COMMODITY | SYS-22655116-1   | Chena Dal
BARCODE   | 8902979025836    | Chik Egg Shampoo
BARCODE   | 8902979002035    | Chik shampoo 1/-
BARCODE   | 8902979011884    | Chik Shampoo 50p
COMMODITY | SYS-22727190-1   | Chinna Millmaker
BARCODE   | 8901023020353    | Chinthol 160/-
COMMODITY |                  | Chinthol 75 pudha
BARCODE   | 8901023001734    | Chinthol Shaving Cream
BARCODE   | 8904215502354    | Chocolate
COMMODITY | SYS-22711870-1   | Chocolate 300/-
BARCODE   | 8901023028502    | CINTHOL 40g
COMMODITY |                  | CINTHOL 40g Pudha
BARCODE   | 8901725033811    | Classic
BARCODE   | 8901725307912    | Classic Connect
BARCODE   | 8902953446916    | Classic Small
BARCODE   | 8909106084568    | Clinic Plus 1/-
BARCODE   | 8909106028616    | Clinic Plus 50p
BARCODE   | 8909106079762    | Clinic Plus Shampoo 175 ml
BARCODE   | 8909106053632    | Closeup ₹10
COMMODITY |                  | Closeup ₹10 Pudha
BARCODE   | 8909106071759    | Closeup 80g
BARCODE   | 8909106053564    | Closeup Red 150g
BARCODE   | 8909106071612    | Closeup Toothpaste 45g
COMMODITY |                  | Closeup Toothpaste 45g Pudha
BARCODE   | 8901314765338    | Colgate 150g
BARCODE   | 8901314765314    | Colgate 200gm
BARCODE   | 8850006958254    | Colgate Active Salt ₹20
COMMODITY |                  | Colgate Active Salt ₹20 Pudha
BARCODE   | 8901314009081    | Colgate Active Salt 100g
BARCODE   | 8901314902443    | Colgate Active Salt 20/-
COMMODITY |                  | Colgate ACTIVE SALT 200g
BARCODE   | 8901314765352    | Colgate Dental Cream 100 g
BARCODE   | 8901314013392    | Colgate powder 100g
BARCODE   | 8901314786241    | Colgate Toothpaste ₹10
COMMODITY |                  | Colgate Toothpaste ₹10 Pudha
BARCODE   | 8901314308085    | Colgate Vedshakti 100g
BARCODE   | 8901396476146    | Colin ,500ml
BARCODE   | 8901396465003    | Colin 250ml
BARCODE   | 8909106022003    | Comfort 210ml
COMMODITY | SYS-22585657-1   | Cover PC
BARCODE   | 8908003750064    | Crane Nut
BARCODE   | 8901751024234    | Cycle  Banusri Agarbatti 15/-
BARCODE   | 8901751021240    | Cycle Agarbatti
BARCODE   | 8901751031966    | Cycle Agarbatti 10/- Piece
COMMODITY |                  | Cycle Agarbatti 15/- Piece
BARCODE   | 8901751017076    | Cycle Agarbatti 5/- Piece
BARCODE   | 8901751027655    | Cycle Banusri 25/-
BARCODE   | 8901751024012    | Cycle Banusri Agarbatti 60/-
BARCODE   | 8901751024036    | Cycle Banusri Agarbatti Violet
BARCODE   | 8901751025798    | Cycle Banusri Sambrani 25/-
BARCODE   | 8901751009965    | Cycle Sambrani
BARCODE   | 8901207027307    | Daber red100gm
BARCODE   | 89008706         | Dabur Amla ₹10
BARCODE   | 89009550         | Dabur Amla Oil 110ml
COMMODITY |                  | Dabur Lal Powder 150g
BARCODE   | 8901207029639    | Dabur Lal powder 50g
COMMODITY |                  | Dabur Red 100g
BARCODE   | 8901207027253    | Dabur RED 36g
COMMODITY | SYS-22644327-1   | Dabur Red Manjan 10/-
BARCODE   | 8901207027321    | dabur red paste 200g
BARCODE   | 8901207055744    | Dabur Red Powder 100g
COMMODITY | SYS-22692087-1   | Daniyallu
BARCODE   | 8904422709034    | Dant Kanti ₹20
BARCODE   | 8904422708501    | Dant Kanti 200g
BARCODE   | 8904109494895    | Dant Kanti Fresh 100g
BARCODE   | 8906069560108    | Dark Chocolate
BARCODE   | 8904482801877    | Denver
BARCODE   | 8901248164252    | Dermi cool 50g
BARCODE   | 8901396350309    | DETTOL 250ML 250ml
BARCODE   | 8901396350101    | dettol 25ml 40/-
BARCODE   | 8901396602477    | Dettol Cool Soap 40g
COMMODITY |                  | Dettol Cool Soap 40g Pudha
BARCODE   | 8901396315803    | Dettol Handwash 100ml
BARCODE   | 8901396389675    | Dettol Original Liquid Handwash 675ml
BARCODE   | 8901396602460    | Dettol Soap
COMMODITY | SYS-22555322-1   | Diamond
COMMODITY | SYS-22729600-1   | Diamond Mishri
BARCODE   | 8908001739016    | Double parrot besan 250g
BARCODE   | 8901030795589    | Dove Dove Cream Beauty Soap 100g
BARCODE   | 8909106035812    | Dove Shampoo 1L
BARCODE   | 8909106054516    | Dove Shampoo 2/-
BARCODE   | 8908003338804    | Dwibhashi
BARCODE   | 8908003338255    | Dwibhashi Castor Oil 100ml
BARCODE   | 8908003338903    | Dwibhashid Soap
BARCODE   | 8901647344316    | Edison Small
BARCODE   | 8901647266311    | Edition Old
BARCODE   | 8901647186312    | Edition Trio
BARCODE   | 8901647265314    | Editions neo
COMMODITY | SYS-22678109-1   | Elachi
BARCODE   | 8904217500853    | Elachi Eclairs
BARCODE   | 8906041810931    | Elachi Tofiz
